shot,timestamp,x,y,z,strokes
1,0.0099,-0.021561,0.196533,-1.113968,0
1,0.0249,0.070419,0.114014,-1.070847,0
1,0.0445,0.060654,0.139771,-1.074265,0
1,0.0601,0.090958,0.133209,-1.076416,0
1,0.0757,0.123047,0.133209,-1.068344,0
1,0.0904,0.126099,0.060516,-1.029037,0
1,0.1107,0.163483,0.066284,-1.042267,0
1,0.1255,0.033859,0.207413,-1.082855,0
1,0.1405,0.074875,0.203079,-1.061768,0
1,0.1556,0.105637,0.137039,-1.009995,0
1,0.1756,0.110794,0.136292,-0.981827,0
1,0.1910,0.147430,0.127762,-0.939316,0
1,0.2060,0.156189,0.105103,-0.903580,0
1,0.2210,0.183640,0.095779,-0.880600,0
1,0.2412,0.225143,0.095840,-0.900085,0
1,0.2559,0.255371,0.085602,-0.899521,0
1,0.2748,0.248016,0.078125,-0.906250,0
1,0.2866,0.242386,0.069138,-0.943924,0
1,0.3062,0.258911,0.063614,-0.939499,0
1,0.3214,0.258057,0.087891,-0.918823,0
1,0.3366,0.261642,0.102570,-0.916565,0
1,0.3512,0.292862,0.069199,-0.849701,0
1,0.3737,0.303329,0.055954,-0.788086,0
1,0.3866,0.319885,0.072662,-0.783447,0
1,0.4023,0.326355,0.093384,-0.794144,0
1,0.4168,0.332611,0.152359,-0.824280,0
1,0.4370,0.317490,0.240402,-0.855301,0
1,0.4516,0.326767,0.371216,-0.831299,0
1,0.4674,0.272018,0.423660,-0.795120,0
1,0.4827,0.246506,0.457458,-0.786728,0
1,0.5019,0.245056,0.517395,-0.883560,0
1,0.5173,0.239548,0.596817,-0.914398,0
1,0.5321,0.172379,0.561859,-0.928055,0
1,0.5476,0.136520,0.602295,-0.905533,0
1,0.5676,0.095093,0.578583,-0.955200,0
1,0.5830,0.021439,0.472229,-0.950699,0
1,0.5980,0.013916,0.525665,-0.859909,0
1,0.6129,-0.061554,0.394241,-0.745956,0
1,0.6328,-0.086731,0.334030,-0.596771,0
1,0.6479,-0.122589,0.512527,-0.481949,0
1,0.6630,-0.177856,0.732834,-0.488739,0
1,0.6789,-0.098053,0.796921,-0.501709,0
1,0.6980,-0.081711,0.680069,-0.241180,0
1,0.7132,-0.117172,1.027344,-0.171844,0
1,0.7285,0.003036,1.627197,-0.334366,0
1,0.7445,0.188110,1.714890,-0.388550,0
1,0.7633,0.226715,1.326492,-0.530701,0
1,0.7787,0.267273,1.283752,-0.296982,0
1,0.7938,0.230270,1.233307,-0.163681,0
1,0.8087,0.208405,1.371368,-0.136215,0
1,0.8287,0.142929,1.374771,-0.051254,0
1,0.8435,0.156265,1.195480,-0.320618,0
1,0.8593,0.084106,1.076752,-0.386459,0
1,0.8740,0.112411,1.132904,-0.484848,0
1,0.8939,0.142883,1.072128,-0.652771,0
1,0.9092,0.070038,1.172302,-0.702789,0
1,0.9244,0.007629,1.091553,-0.450180,0
1,0.9396,-0.089279,1.271469,-0.220917,0
1,0.9591,-0.301041,1.591385,0.123489,0
1,0.9756,-0.831268,1.710831,0.598572,0
1,0.9904,-1.027924,1.834015,0.878754,0
1,1.0051,-1.194992,1.480850,0.823807,0
1,1.0247,-0.939880,0.756516,0.420654,0
1,1.0396,-0.687469,0.209244,0.061768,0
1,1.0550,-0.455338,-0.140045,0.341003,1
1,1.0767,-0.139938,-0.288788,0.789246,1
1,1.0902,0.227219,-0.245697,1.001953,1
1,1.1054,0.749603,0.048584,0.630615,1
1,1.1201,1.253128,0.652237,-0.212433,1
