shot,timestamp,x,y,z,strokes
0,0.0036,0.275452,0.465195,-0.859009,0
0,0.0159,0.246979,0.419724,-0.828934,0
0,0.0314,0.257446,0.384933,-0.822861,0
0,0.0512,0.286880,0.391388,-0.810654,0
0,0.0663,0.295746,0.394226,-0.822098,0
0,0.0815,0.288986,0.404404,-0.829880,0
0,0.0967,0.283035,0.405167,-0.819962,0
0,0.1162,0.273895,0.428223,-0.817139,0
0,0.1317,0.270035,0.435883,-0.811737,0
0,0.1465,0.270569,0.449142,-0.827057,0
0,0.1621,0.274933,0.441025,-0.848633,0
0,0.1818,0.286987,0.439529,-0.852386,0
0,0.1967,0.289124,0.434692,-0.849625,0
0,0.2118,0.284012,0.425323,-0.849777,0
0,0.2271,0.273071,0.420883,-0.861481,0
0,0.2467,0.280930,0.393143,-0.846985,0
0,0.2620,0.295593,0.377609,-0.839798,0
0,0.2774,0.302841,0.313477,-0.822418,0
0,0.2923,0.334732,0.304581,-0.823990,0
0,0.3124,0.238159,0.354828,-0.880539,0
0,0.3275,0.332260,0.418365,-0.848618,0
0,0.3429,0.332642,0.322159,-0.817276,0
0,0.3579,0.392563,0.413025,-0.812469,0
0,0.3794,0.474380,0.456696,-0.778351,0
0,0.3927,0.539841,0.461472,-0.740204,0
0,0.4084,0.542877,0.467484,-0.742935,0
0,0.4229,0.563538,0.457748,-0.802063,0
0,0.4427,0.618073,0.403107,-0.844238,0
0,0.4582,0.658173,0.346756,-0.859924,0
0,0.4793,0.664825,0.331879,-0.866913,0
0,0.4882,0.622040,0.340698,-0.866928,0
0,0.5081,0.594589,0.314819,-0.818115,0
0,0.5237,0.553802,0.291748,-0.746933,0
0,0.5384,0.551117,0.290421,-0.655640,0
0,0.5537,0.543518,0.355957,-0.630936,0
0,0.5769,0.556305,0.415588,-0.623260,0
0,0.5892,0.583954,0.425446,-0.604095,0
0,0.6038,0.605301,0.436661,-0.598007,0
0,0.6192,0.613220,0.443970,-0.604706,0
0,0.6392,0.615326,0.444656,-0.602921,0
0,0.6543,0.603363,0.450684,-0.608948,0
0,0.6693,0.599655,0.451538,-0.605957,0
0,0.6843,0.599304,0.464417,-0.605881,0
0,0.7042,0.573761,0.489258,-0.606140,0
0,0.7193,0.564178,0.469101,-0.586426,0
0,0.7347,0.543015,0.435562,-0.565491,0
0,0.7495,0.501190,0.448639,-0.613342,0
0,0.7701,0.459488,0.541672,-0.680878,0
0,0.7846,0.423279,0.543518,-0.671509,0
0,0.8000,0.450653,0.535553,-0.639954,0
0,0.8151,0.467575,0.531387,-0.609375,0
0,0.8347,0.445740,0.546738,-0.604965,0
0,0.8499,0.442505,0.593765,-0.588989,0
