shot,timestamp,x,y,z,strokes
0,0.0081,-0.041061,0.116104,-0.977127,0
0,0.0231,-0.023529,0.114349,-0.970978,0
0,0.0390,-0.018402,0.092270,-0.966522,0
0,0.0541,-0.034271,0.098953,-0.978561,0
0,0.0736,-0.028854,0.110001,-0.976318,0
0,0.0888,-0.019577,0.123184,-0.978714,0
0,0.1036,-0.029343,0.115463,-0.977615,0
0,0.1192,-0.030136,0.115952,-0.989670,0
0,0.1386,-0.029709,0.115402,-0.997787,0
0,0.1539,-0.032684,0.125244,-1.004196,0
0,0.1699,-0.025513,0.119080,-0.998230,0
0,0.1842,-0.025635,0.113098,-0.994553,0
0,0.2040,-0.028198,0.108902,-0.995255,0
0,0.2190,-0.028275,0.117798,-0.999023,0
0,0.2346,-0.030594,0.115829,-0.998764,0
0,0.2500,-0.034317,0.107086,-1.001251,0
0,0.2691,-0.030228,0.098083,-0.991272,0
0,0.2845,-0.026749,0.111938,-0.991364,0
0,0.3004,-0.024246,0.106796,-0.984818,0
0,0.3146,-0.025284,0.120392,-0.985489,0
0,0.3345,-0.018158,0.117462,-0.987183,0
0,0.3499,-0.023605,0.112885,-0.986618,0
0,0.3648,-0.024475,0.109650,-0.982651,0
0,0.3806,-0.024338,0.111649,-0.982498,0
0,0.3999,-0.028305,0.115326,-0.983734,0
0,0.4153,-0.031219,0.121094,-0.993561,0
0,0.4309,-0.021851,0.114059,-0.993317,0
0,0.4466,-0.026779,0.105545,-0.991150,0
0,0.4650,-0.027618,0.105225,-0.986557,0
0,0.4805,-0.027969,0.101913,-0.987106,0
0,0.4955,-0.026215,0.107529,-0.991562,0
0,0.5113,-0.029053,0.109940,-0.989059,0
0,0.5306,-0.025635,0.111176,-0.992920,0
0,0.5465,-0.026108,0.108109,-0.987320,0
0,0.5615,-0.021286,0.113968,-0.990372,0
0,0.5762,-0.017334,0.110001,-0.986115,0
0,0.5960,-0.022339,0.109711,-0.985977,0
0,0.6111,-0.022690,0.115417,-0.990265,0
0,0.6262,-0.021606,0.121094,-0.988785,0
0,0.6454,-0.021027,0.116913,-0.986481,0
0,0.6609,-0.019623,0.110123,-0.979187,0
0,0.6761,-0.020630,0.106842,-0.982117,0
0,0.6919,-0.024948,0.108215,-0.985672,0
0,0.7066,-0.028992,0.109024,-0.991058,0
0,0.7266,-0.030945,0.115265,-0.996246,0
0,0.7446,-0.026749,0.112183,-0.996689,0
0,0.7567,-0.022537,0.103302,-0.995575,0
0,0.7726,-0.026657,0.101425,-0.994781,0
0,0.7919,-0.028000,0.110168,-0.990860,0
0,0.8068,-0.030502,0.118851,-0.994064,0
0,0.8226,-0.025177,0.112350,-0.995483,0
0,0.8375,-0.028473,0.099350,-0.990250,0
0,0.8572,-0.027054,0.094635,-0.974457,0
0,0.8723,-0.025360,0.101562,-0.962509,0
0,0.8875,-0.027985,0.115051,-0.972122,0
0,0.9030,-0.025314,0.118530,-0.980011,0
0,0.9222,-0.029465,0.118210,-0.989594,0
0,0.9374,-0.030014,0.111832,-0.988144,0
0,0.9536,-0.030014,0.107162,-0.980774,0
0,0.9680,-0.024704,0.107742,-0.978027,0
0,0.9881,-0.028229,0.108459,-0.986771,0
0,1.0029,-0.030106,0.109314,-0.990021,0
0,1.0183,-0.034561,0.112518,-0.996002,0
0,1.0341,-0.036606,0.101639,-0.990234,0
0,1.0541,-0.031326,0.095657,-0.983566,0
0,1.0682,-0.027893,0.098022,-0.982101,0
0,1.0841,-0.022507,0.110062,-0.991348,0
0,1.0984,-0.020981,0.122375,-1.000397,0
0,1.1193,-0.024796,0.120178,-1.004639,0
0,1.1338,-0.024399,0.107986,-0.999725,0
0,1.1491,-0.026947,0.104996,-0.993439,0
0,1.1653,-0.029236,0.106522,-0.991699,0
0,1.1838,-0.031937,0.113876,-0.989716,0
0,1.1988,-0.029297,0.099915,-0.978806,0
0,1.2146,-0.028534,0.095947,-0.968735,0
0,1.2303,-0.033447,0.093231,-0.970352,0
0,1.2491,-0.030701,0.102448,-0.972946,0
0,1.2640,-0.034775,0.112518,-0.982941,0
0,1.2796,-0.029343,0.117355,-0.988174,0
0,1.2948,-0.028275,0.111237,-0.987244,0
0,1.3142,-0.028625,0.112213,-0.992691,0
0,1.3296,-0.026840,0.118073,-0.999756,0
0,1.3449,-0.024399,0.127731,-1.005981,0
0,1.3602,-0.025223,0.126602,-1.007690,0
0,1.3795,-0.021271,0.118073,-1.005249,0
0,1.3949,-0.025726,0.107269,-0.998322,0
0,1.4099,-0.026627,0.099854,-0.989151,0
0,1.4260,-0.028259,0.101746,-0.986679,0
0,1.4448,-0.028107,0.105591,-0.985214,0
0,1.4601,-0.026871,0.107727,-0.985977,0
0,1.4756,-0.028854,0.110535,-0.984573,0
0,1.4904,-0.021973,0.114227,-0.983521,0
0,1.5104,-0.025299,0.113846,-0.982269,0
0,1.5259,-0.028137,0.116226,-0.988525,0
0,1.5462,-0.026047,0.124695,-0.988449,0
0,1.5570,-0.019516,0.128784,-0.985657,0
0,1.5759,-0.022919,0.127060,-0.984436,0
0,1.5906,-0.024887,0.115814,-0.980453,0
0,1.6063,-0.028183,0.116119,-0.984558,0
0,1.6212,-0.027512,0.111908,-0.988342,0
0,1.6438,-0.021545,0.113327,-0.988541,0
0,1.6562,-0.022415,0.115250,-0.986740,0
0,1.6716,-0.022919,0.117020,-0.990326,0
0,1.6871,-0.024612,0.119278,-0.994949,0
0,1.7061,-0.026306,0.119202,-0.999329,0
0,1.7214,-0.029037,0.116516,-0.998535,0
0,1.7371,-0.023270,0.115372,-0.988785,0
0,1.7515,-0.025452,0.113678,-0.983109,0
0,1.7713,-0.028992,0.117889,-0.986557,0
0,1.7867,-0.024887,0.124054,-0.990311,0
0,1.8018,-0.024918,0.120117,-0.985855,0
0,1.8175,-0.028946,0.112808,-0.981277,0
0,1.8370,-0.024841,0.113937,-0.976227,0
0,1.8525,-0.027161,0.121140,-0.981903,0
0,1.8680,-0.026886,0.133987,-0.991730,0
0,1.8823,-0.023499,0.127960,-0.988480,0
0,1.9024,-0.025620,0.120132,-0.987671,0
0,1.9173,-0.025330,0.118576,-0.983810,0
0,1.9328,-0.033524,0.114471,-0.984528,0
